"rasp1","rasp2","rasp3","rasp4","location"
0,-0.9114,-20.3462,-33.3429,1.1
-0.4231,-0.0405,-14.0632,-14.3553,1.2
-10.7927,0,-26.4607,-17.6538,1.3
-6.1868,0.4217,-12.5116,-11.6782,1.4
-9.6628,10.1481,-20.7324,-18.3163,1.5
-18.7714,-17.8136,-16.7143,0.0128,10.1
-21.5,-17.5325,-5.9896,-13.9398,10.2
-18.7326,-15.1447,-6.043,-2.8182,10.3
-22.6237,-11.086,-2.2527,-8.7791,10.4
-17.5556,-25.1474,0,-9.5114,10.5
-4.8889,-13.6023,-10,-21.94,2.1
-2.481,-7.8438,-6.7558,-27.1961,2.2
-4.3973,-10.3176,-18.1463,-20.5745,2.3
-13.8904,-1.1882,-11.7841,-14.0909,2.4
-15.7912,-0.0833,-18.1412,-23.1212,2.5
-7.5,-15.4824,-15.6049,-28,3.1
-3.5,-12.8298,-16.2714,-24.0886,3.2
-15.1299,-9.5125,-15.7821,-22.4828,3.3
-12.3797,-4.5765,-7.1071,-24.0156,3.4
-15.2368,-3.9024,-23.5636,-23.3736,3.5
-12.2299,-12.2727,-15.6022,-22.2469,4.1
-16.3625,-14.2432,-17.8571,-17.8095,4.2
-8.0563,-11.7333,-15.3056,-16.7119,4.3
-20.3425,-12.8276,-8.2027,-16.1538,4.4
-21.956,-5.1556,-16.6404,-20.2738,4.5
-26.1354,-17.7857,-15.4382,-23.5641,5.1
-8.7857,-13.4674,-14.7895,-22.875,5.2
-18.5862,-11.5357,-8.24,-19.2667,5.3
-23.0297,-11.2955,-10.1538,-17.5556,5.4
-19.9634,-17.561,-14.0706,-15.7889,5.5
-19.6907,-13.3958,-18.0164,-13.5645,6.1
-16.6263,-12.6203,-13.3763,-16.23,6.2
-15.4211,-10.6714,-8.1319,-12.1273,6.3
-12.4382,-13.4658,-13.527,-18.06,6.4
-26.3563,-12.869,-13.8684,-10.3714,6.5
-18.3158,-17.6456,-11.5698,-15.1591,7.1
-23,-9.8372,-21.1579,-9.25,7.2
-28.3889,-16.4333,-13.2258,-7.8276,7.3
-22.5632,-14.8372,-8.8293,-12.2651,7.4
-12.1831,-18.6923,-6.6027,-18.6582,7.5
-23.5556,-18.6471,-13.5658,-15.881,8.1
-15.1071,-14.7273,-14.9184,-8.7176,8.2
-15.253,-15.6471,-9.7579,-7.9639,8.3
-12.4872,-13.8916,-6.4286,-13.5275,8.4
-17.7612,-14.875,-12.2347,-10.7429,8.5
-20.775,-12.7619,-15.2476,-0.8462,9.1
-23.2917,-9,-16.0449,-0.975,9.2
-6.1296,-15.7765,-13.3594,-11.9625,9.3
-11.3718,-9.3247,-2.6966,-9.4146,9.4
-11.1412,-20.9136,-5.098,-7.193,9.5
